Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Direction,PhiScore,KanScore,Description,Yards,PlayType,Runner,Receiver,ForcedBy,DefendedBy,TackledBy,TackleAssist,InterceptedBy,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,PassDirection,IsSack,IsChallenge,IsChallengeReverse,Challenger,IsInterception,IsFumble,FumbleRecoveredByOffense,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RunDirection,IsPenaltyAccepted,PenaltyTeam,PenaltyType,PenaltyYards
2,1,56,KAN,PHI,1,10,36,KAN,21,14,Patrick Mahomes pass incomplete deep left intended for Marquez Valdes-Scantling,0,Pass,NA,Marquez Valdes-Scantling,NA,NA,NA,NA,NA,0,1,1,0,Deep,Left,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,1,51,KAN,PHI,2,10,36,KAN,21,14,"Penalty on Orlando Brown: False Start, 5 yards (accepted) (no play)",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,1,0,0,NA,1,KAN,False Start,5
2,1,51,KAN,PHI,2,15,31,KAN,21,14,Patrick Mahomes pass incomplete short right intended for JuJu Smith-Schuster,0,Pass,NA,JuJu Smith-Schuster,NA,NA,NA,NA,NA,0,1,1,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,1,44,KAN,PHI,3,15,31,KAN,21,14,"Creed Humphrey aborted snap, recovered by Patrick Mahomes at KC-25 Patrick Mahomes for no gain (tackle by T.J. Edwards)",0,Pass,NA,NA,NA,NA,TJ Edwards,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,1,1,0,0,0,NA,0,NA,NA,0
2,1,33,KAN,PHI,NA,NA,NA,NA,21,14,Timeout #1 by Philadelphia Eagles,0,Timeout,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,1,33,KAN,PHI,4,12,34,KAN,21,14,"Tommy Townsend punts 50 yards, returned by Britain Covey for 27 yards (tackle by Nazeeh Johnson)",27,Punt,Britain Covey,NA,NA,NA,Nazeeh Johnson,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,1,22,PHI,KAN,1,10,43,PHI,21,14,Jalen Hurts pass complete short right to Kenneth Gainwell for 9 yards (tackle by Justin Reid),9,Pass,NA,Kenneth Gainwell,NA,NA,Justin Reid,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,1,00,PHI,KAN,2,1,48,KAN,21,14,"Jalen Hurts pass complete deep right to DeVonta Smith for no gain (tackle by L'Jarius Sneed) Replay Assistant challenged the pass completion ruling, and the original play was overturned. Jalen Hurts pass incomplete deep right intended for DeVonta Smith (defended by L'Jarius Sneed)",0,Pass,NA,DeVonta Smith,NA,NA,L'Jarius Sneed,NA,NA,0,1,1,0,Deep,Right,0,1,1,Official,0,0,0,0,0,0,NA,0,NA,NA,0
2,0,55,PHI,KAN,3,1,48,KAN,21,14,Jalen Hurts up the middle for 2 yards (tackle by Chris Jones),2,Run,Jalen Hurts,NA,NA,NA,Chris Jones,NA,NA,1,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,Middle,0,NA,NA,0
2,0,35,PHI,KAN,1,10,46,KAN,21,14,Jalen Hurts pass incomplete short right,0,Pass,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,0,28,PHI,KAN,2,10,46,KAN,21,14,Jalen Hurts pass complete short right to DeVonta Smith for 5 yards (tackle by Nick Bolton),5,Pass,NA,DeVonta Smith,NA,NA,Nick Bolton,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,0,23,PHI,KAN,NA,NA,NA,NA,21,14,Timeout #2 by Philadelphia Eagles,0,Timeout,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
2,0,23,PHI,KAN,3,5,41,KAN,21,14,Jalen Hurts pass complete short right to A.J. Brown for 22 yards (tackle by Juan Thornhill),22,Pass,NA,AJ Brown,NA,NA,Juan Thornhill,NA,NA,0,1,0,0,Short,Right,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0
